id,word,pos,cefr
3194,towards,prep.,B1
3195,towel,n.,A2
3196,tower,n.,B1
3197,town,n.,A1
3198,toy,n.; adj.,A2
3199,trace,v.; n.,B2
3200,track,n.,B1
3201,trade,n.; v.,B1
3202,trading,n.,B2
3203,tradition,n.,B2
3204,traditional,adj.,B1
3205,traditionally,adv.,B2
3206,traffic,n.,A2
3207,train,n.; v.,A1
3208,training,n.,B1
3209,transfer,v.; n.,B1
3210,transform,v.,B2
3211,translate,v.,B1
3212,translation,n.,B1
3213,transparent,adj.,B2
3214,transport,n.,B1
3215,transport,v.,B2
3216,trap,n.; v.,B2
3217,travel,v.; n.,A1
3218,traveller,n.,B1
3219,treat,v.,B2
3220,treatment,n.,B2
3221,tree,n.,A1
3222,trend,n.,B1
3223,trial,n.,B2
3224,triangle,n.,B2
3225,trick,n.; v.,B1
3226,trip,n.; v.,A2
3227,tropical,adj.,B2
3228,trouble,n.,B1
3229,trousers,n.,A1
3230,truck,n.,B1
3231,true,adj.,A2
3232,truly,adv.,B2
3233,trust,n.; v.,B1
3234,truth,n.,B2
3235,try,v.,A2
3236,tube,n.,B1
3237,Tuesday,"n.; abbr. Tue., Tues.",A1
3238,tune,n.; v.,A2
3239,tunnel,n.,B1
3240,turn,v.; n.,A2
3241,"TV, television",,A1
3242,twice,adv.,A2
3243,twin,n.; adj.,B1
3244,twist,v.; n.,C1
3245,twisted,adj.,B2
3246,type,n.; v.,A2
3247,typical,adj.,B1
3248,typically,adv.,B1
3249,tyre,n.,A2
3250,ugly,adj.,B1
3251,ultimate,adj.,B2
3252,ultimately,adv.,C1
3253,umbrella,n.,A2
3254,unable,adj.,B1
3255,unacceptable,adj.,B2
3256,uncertain,adj.,B2
3257,uncle,n.,A2
3258,uncomfortable,adj.,B1
3259,unconscious,adj.,B2
3260,uncontrolled,adj.,B2
3261,under,prep.; adv.,A1
3262,under control,,B2
3263,underground,adj.; adv.,A2
3264,underneath,prep.; adv.,B1
3265,understand,v.,A1
3266,understanding,n.,B2
3267,underwater,adj.; adv.,B2
3268,underwear,n.,B1
3269,undo,v.,B2
3270,unemployed,adj.,B1
3271,unemployment,n.,B1
3272,unexpected,adj.,B1
3273,unexpectedly,adv.,B2
3274,unfair,adj.,B1
3275,unfairly,adv.,B2
3276,unfortunate,adj.,B2
3277,unfortunately,adv.,A2
3278,unfriendly,adj.,B1
3279,unhappiness,n.,B2
3280,unhappy,adj.,A2
3281,uniform,n.; adj.,A2
3282,unimportant,adj.,B1
3283,union,n.,B1
3284,unique,adj.,B2
3285,unit,n.,B1
3286,unite,v.,C1
3287,united,adj.,B2
3288,universe,n.,B1
3289,university,n.,A1
3290,unkind,adj.,B1
3291,unknown,adj.,B1
3292,unless,conj.,B1
3293,unlike,prep.; adj.,B2
3294,unlikely,adj.,B1
3295,unload,v.,C1
3296,unlucky,adj.,B1
3297,unnecessary,adj.,B1
3298,unpleasant,adj.,B1
3299,unreasonable,adj.,B2
3300,unsteady,adj.,B2
3301,unsuccessful,adj.,B2
3302,untidy,adj.,B1
3303,until,conj.; prep.,A1
3304,unusual,adj.,A2
3305,unusually,adv.,B2
3306,unwilling,adj.,B2
3307,unwillingly,adv.,C1
3308,up,adv.; prep.,A1
3309,upon,prep.,B2
3310,upper,adj.,B1
3311,upset,v.; adj.,A2
3312,upsetting,adj.,A2
3313,upside down,adv.,B2
3314,upstairs,adv.; adj.; n.,A2
3315,upward,adj.,C1
3316,upwards,adv.,C1
3317,urban,adj.,B2
3318,urge,v.; n.,C2
3319,urgent,adj.,B1
3320,us,pron.,A1
3321,use,v.; n.,A1
3322,used,adj.,A2
3323,used to,modal; v.,B1
3324,used to sth/to doing sth,,B1
3325,useful,adj.,A2
3326,useless,adj.,B1
3327,user,n.,B1
3328,usual,adj.,B1
3329,usually,adv.,A2
3330,vacation,n.,A1
3331,valid,adj.,B2
3332,valley,n.,B1
3333,valuable,adj.,B1
3334,value,n.; v.,B1
3335,van,n.,B1
3336,variation,n.,B2
3337,varied,adj.,B2
3338,variety,n.,A2
3339,various,adj.,A2
3340,vary,v.,B2
3341,vast,adj.,B2
3342,vegetable,n.,A1
3343,vehicle,n.,B1
3344,venture,n.; v.,C2
3345,version,n.,B2
3346,vertical,adj.,C1
3347,very,adv.,A1
3348,via,prep.,B1
3349,victim,n.,B2
3350,victory,n.,B2
3351,video,n.,A2
3352,view,n.; v.,A2
3353,village,n.,A1
3354,violence,n.,B2
3355,violent,adj.,B2
3356,violently,adv.,B2
3357,virtually,adv.,B2
3358,virus,n.,B1
3359,visible,adj.,B2
3360,vision,n.,B2
3361,visit,v.; n.,A1
3362,visitor,n.,A2
3363,vital,adj.,B2
3364,vocabulary,n.,A2
3365,voice,n.,B1
3366,volume,n.,B1
3367,vote,n.; v.,B1
3368,wage,n.,B1
3369,waist,n.,B2
3370,wait,v.,A1
3371,"waiter, waitress",n.,A1
3372,wake,v.,A1
3373,walk,v.; n.,A1
3374,walking,n.,A2
3375,wall,n.,A1
3376,wallet,n.,A2
3377,wander,v.; n.,B2
3378,want,v.,A1
3379,war,n.,A2
3380,warm,adj.; v.,A1
3381,warmth,n.,B2
3382,warn,v.,B1
3383,warning,n.,B1
3384,wash,v.,A1
3385,washing,n.,A2
3386,waste,v.; n.; adj.,B1
3387,watch,v.; n.,A1
3388,water,n.,A1
3389,wave,n.; v.,B1
3390,way,n.,A2
3391,we,pron.,A1
3392,weak,adj.,B1
3393,weakness,n.,B2
3394,wealth,n.,B2
3395,weapon,n.,B2
3396,wear,v.,A1
3397,weather,n.,A1
3398,web,n.,B1
3399,website,n.,A1
3400,wedding,n.,B1
3401,Wednesday,"n.; abbr. Wed., Weds.",A1
3402,week,n.,A1
3403,weekend,n.,A1
3404,weekly,adj.,A2
3405,weigh,v.,B1
3406,weight,n.,B1
3407,welcome,v.; adj.; n.; exclamation,A2
3408,well,adv.; adj.; exclamation,A1
3409,well known,adj.,A2
3410,west,n.; adj.; adv.,A2
3411,western,adj.,B1
3412,wet,adj.,A2
3413,what,pron.; det.,A1
3414,whatever,det.; pron.,B1
3415,wheel,n.,A2
3416,when,adv.; pron.; conj.,A1
3417,whenever,conj.,B1
3418,where,adv.; conj.,A1
3419,whereas,conj.,B2
3420,wherever,conj.,B1
3421,whether,conj.,B1
3422,which,pron.; det.,A1
3423,while,conj.; n.,A2
3424,whilst,conj.,B2
3425,whisper,v.; n.,B2
3426,whistle,n.; v.,B2
3427,white,adj.; n.,A1
3428,who,pron.,A1
3429,whoever,pron.,B2
3430,whole,adj.; n.,A2
3431,whom,pron.,B2
3432,whose,det.; pron.,B1
3433,why,adv.,A1
3434,wide,adj.,A2
3435,widely,adv.,B2
3436,width,n.,B2
3437,wife,n.,A1
3438,wild,adj.,A2
3439,wildly,adv.,B2
3440,will,modal; v.; n.,A1
3441,willing,adj.,B1
3442,willingly,adv.,B2
3443,willingness,n.,B2
3444,win,v.,A2
3445,wind,n.,A1
3446,wind,v.,B2
3447,wind sth up,,B2
3448,window,n.,A1
3449,wine,n.,A1
3450,wing,n.,B1
3451,winner,n.,A2
3452,winning,adj.,A2
3453,winter,n.,A1
3454,wire,n.,B2
3455,wise,adj.,B2
3456,wish,v.; n.,B1
3457,with,prep.,A1
3458,withdraw,v.,C1
3459,within,prep.,B1
3460,without,prep.,A2
3461,witness,n.; v.,B2
3462,woman,n.,A1
3463,wonder,v.,B1
3464,wonderful,adj.,A2
3465,wood,n.,A2
3466,wooden,adj.,A2
3467,wool,n.,A2
3468,word,n.,A1
3469,work,v.; n.,A1
3470,worker,n.,A2
3471,working,adj.,B1
3472,world,n.,A1
3473,worried,adj.,A2
3474,worry,v.; n.,A2
3475,worrying,adj.,A2
3476,"worse, worst, bad",,A2
3477,worship,n.; v.,C1
3478,worth,adj.,B1
3479,would,modal; v.,A1
3480,wound,n.; v.,B2
3481,wounded,adj.,B2
3482,wrap,v.,B1
3483,wrapping,n.,B1
3484,wrist,n.,B2
3485,write,v.,A1
3486,writer,n.,B1
3487,writing,n.,A1
3488,written,adj.,B1
3489,wrong,adj.; adv.,A1
3490,wrongly,adv.,B2
3491,yard,n.,B1
3492,yawn,v.; n.,B2
3493,yeah,exclamation,A2
3494,year,n.,A1
3495,yellow,adj.; n.,A1
3496,yes,exclamation; n.,A1
3497,yesterday,adv.; n.,A1
3498,yet,adv.; conj.,A2
3499,you,pron.,A1
3500,young,adj.,A1
3501,your,det.,A1
3502,yours,pron.,A2
3503,Yours faithfully,,B2
3504,Yours sincerely,,B1
3505,Yours Truly,,B1
3506,yourself,pron.,A2
3507,youth,n.,B1
3508,zero,number,A2
3509,zone,n.,B1
